"u:0","u:1","u:2","acc:0","acc:1","acc:2","p","Points:0","Points:1","Points:2"
1,0,0,0,0,0,0.044585,0,0,1
1,0,0,0,0,0,0.044585,0,0,1
1,0,0,0,0,0,0.044585,0,0,1
1,0,0,0,0,0,0.044772,0,1,1
1,0,0,0,0,0,0.044772,0,1,1
1,0,0,0,0,0,0.044772,0,1,1
1,0,0,-4.0211e-05,0,0,3.5847e-08,2.5,0,1
1,0,0,-4.0211e-05,0,0,3.5847e-08,2.5,0,1
1,0,0,-4.0211e-05,0,0,3.5847e-08,2.5,0,1
1,0,0,-2.9924e-05,0,0,1.6112e-09,2.5,1,1
1,0,0,-2.9924e-05,0,0,1.6112e-09,2.5,1,1
1,0,0,-2.9924e-05,0,0,1.6112e-09,2.5,1,1
0,0,0,2.6645e-12,0,0,0.0040165,0.55,0.5,1
0,0,0,2.6645e-12,0,0,0.0040165,0.55,0.5,1
0,0,0,2.6645e-12,0,0,0.0040165,0.55,0.5,1
1,0,0,0,0,0,0.046239,0,0.034483,1
1,0,0,0,0,0,0.046239,0,0.034483,1
1,0,0,0,0,0,0.046782,0,0.068966,1
1,0,0,0,0,0,0.046782,0,0.068966,1
1,0,0,0,0,0,0.045773,0,0.10345,1
1,0,0,0,0,0,0.045773,0,0.10345,1
1,0,0,0,0,0,0.048669,0,0.13793,1
1,0,0,0,0,0,0.048669,0,0.13793,1
1,0,0,0,0,0,0.051159,0,0.17241,1
1,0,0,0,0,0,0.051159,0,0.17241,1
1,0,0,0,0,0,0.053827,0,0.2069,1
1,0,0,0,0,0,0.053827,0,0.2069,1
1,0,0,0,0,0,0.056602,0,0.24138,1
1,0,0,0,0,0,0.056602,0,0.24138,1
1,0,0,0,0,0,0.059145,0,0.27586,1
1,0,0,0,0,0,0.059145,0,0.27586,1
1,0,0,0,0,0,0.063245,0,0.31034,1
1,0,0,0,0,0,0.063245,0,0.31034,1
1,0,0,0,0,0,0.063245,0,0.31034,1
1,0,0,0,0,0,0.065416,0,0.34483,1
1,0,0,0,0,0,0.065416,0,0.34483,1
1,0,0,0,0,0,0.06903,0,0.37931,1
1,0,0,0,0,0,0.06903,0,0.37931,1
1,0,0,0,0,0,0.06903,0,0.37931,1
1,0,0,0,0,0,0.071752,0,0.41379,1
1,0,0,0,0,0,0.071752,0,0.41379,1
1,0,0,0,0,0,0.073043,0,0.44828,1
1,0,0,0,0,0,0.073043,0,0.44828,1
1,0,0,0,0,0,0.073043,0,0.44828,1
1,0,0,0,0,0,0.074861,0,0.48276,1
1,0,0,0,0,0,0.074861,0,0.48276,1
1,0,0,0,0,0,0.074861,0,0.48276,1
1,0,0,0,0,0,0.073897,0,0.51724,1
1,0,0,0,0,0,0.073897,0,0.51724,1
