"u:0","u:1","u:2","acc:0","acc:1","acc:2","p","Points:0","Points:1","Points:2"
1,0,0,0,0,0,0.048819,0,0,1
1,0,0,0,0,0,0.048819,0,0,1
1,0,0,0,0,0,0.048819,0,0,1
1,0,0,0,0,0,0.06988,0,1,1
1,0,0,0,0,0,0.06988,0,1,1
1,0,0,0,0,0,0.06988,0,1,1
1.0802,0,0,0.46298,0,0,0.0013736,2.5,0,1
1.0802,0,0,0.46298,0,0,0.0013736,2.5,0,1
1.0802,0,0,0.46298,0,0,0.0013736,2.5,0,1
1.0823,0,0,-0.050452,0,0,0.0011496,2.5,1,1
1.0823,0,0,-0.050452,0,0,0.0011496,2.5,1,1
1.0823,0,0,-0.050452,0,0,0.0011496,2.5,1,1
0,0,0,0,0,0,-0.38163,0.55,0.5,1
0,0,0,0,0,0,-0.38163,0.55,0.5,1
0,0,0,0,0,0,-0.38163,0.55,0.5,1
1,0,0,0,0,0,0.049641,0,0.034483,1
1,0,0,0,0,0,0.049641,0,0.034483,1
1,0,0,0,0,0,0.05059,0,0.068966,1
1,0,0,0,0,0,0.05059,0,0.068966,1
1,0,0,0,0,0,0.050823,0,0.10345,1
1,0,0,0,0,0,0.050823,0,0.10345,1
1,0,0,0,0,0,0.054033,0,0.13793,1
1,0,0,0,0,0,0.054033,0,0.13793,1
1,0,0,0,0,0,0.057134,0,0.17241,1
1,0,0,0,0,0,0.057134,0,0.17241,1
1,0,0,0,0,0,0.060993,0,0.2069,1
1,0,0,0,0,0,0.060993,0,0.2069,1
1,0,0,0,0,0,0.064735,0,0.24138,1
1,0,0,0,0,0,0.064735,0,0.24138,1
1,0,0,0,0,0,0.069069,0,0.27586,1
1,0,0,0,0,0,0.069069,0,0.27586,1
1,0,0,0,0,0,0.07378,0,0.31034,1
1,0,0,0,0,0,0.07378,0,0.31034,1
1,0,0,0,0,0,0.07378,0,0.31034,1
1,0,0,0,0,0,0.078381,0,0.34483,1
1,0,0,0,0,0,0.078381,0,0.34483,1
1,0,0,0,0,0,0.08314,0,0.37931,1
1,0,0,0,0,0,0.08314,0,0.37931,1
1,0,0,0,0,0,0.08314,0,0.37931,1
