"u:0","u:1","u:2","acc:0","acc:1","acc:2","p","Points:0","Points:1","Points:2"
1,0,0,0,0,0,0.040401,0,0,1
1,0,0,0,0,0,0.040401,0,0,1
1,0,0,0,0,0,0.040401,0,0,1
1,0,0,0,0,0,0.042993,0,1,1
1,0,0,0,0,0,0.042993,0,1,1
1,0,0,0,0,0,0.042993,0,1,1
0.99998,0,0,-6.9473e-05,0,0,-5.3087e-07,2.5,0,1
0.99998,0,0,-6.9473e-05,0,0,-5.3087e-07,2.5,0,1
0.99998,0,0,-6.9473e-05,0,0,-5.3087e-07,2.5,0,1
1,0,0,4.5291e-05,0,0,6.2567e-07,2.5,1,1
1,0,0,4.5291e-05,0,0,6.2567e-07,2.5,1,1
1,0,0,4.5291e-05,0,0,6.2567e-07,2.5,1,1
0,0,0,8.7402e-154,0,0,-0.27947,0.55,0.5,1
0,0,0,8.7402e-154,0,0,-0.27947,0.55,0.5,1
0,0,0,8.7402e-154,0,0,-0.27947,0.55,0.5,1
1,0,0,0,0,0,0.041332,0,0.034483,1
1,0,0,0,0,0,0.041332,0,0.034483,1
1,0,0,0,0,0,0.042241,0,0.068966,1
1,0,0,0,0,0,0.042241,0,0.068966,1
1,0,0,0,0,0,0.042367,0,0.10345,1
1,0,0,0,0,0,0.042367,0,0.10345,1
1,0,0,0,0,0,0.045765,0,0.13793,1
1,0,0,0,0,0,0.045765,0,0.13793,1
1,0,0,0,0,0,0.048837,0,0.17241,1
1,0,0,0,0,0,0.048837,0,0.17241,1
1,0,0,0,0,0,0.052549,0,0.2069,1
1,0,0,0,0,0,0.052549,0,0.2069,1
1,0,0,0,0,0,0.056197,0,0.24138,1
1,0,0,0,0,0,0.056197,0,0.24138,1
1,0,0,0,0,0,0.060194,0,0.27586,1
1,0,0,0,0,0,0.060194,0,0.27586,1
1,0,0,0,0,0,0.064651,0,0.31034,1
1,0,0,0,0,0,0.064651,0,0.31034,1
1,0,0,0,0,0,0.064651,0,0.31034,1
1,0,0,0,0,0,0.068684,0,0.34483,1
1,0,0,0,0,0,0.068684,0,0.34483,1
1,0,0,0,0,0,0.072763,0,0.37931,1
1,0,0,0,0,0,0.072763,0,0.37931,1
1,0,0,0,0,0,0.072763,0,0.37931,1
1,0,0,0,0,0,0.076085,0,0.41379,1
1,0,0,0,0,0,0.076085,0,0.41379,1
1,0,0,0,0,0,0.07811,0,0.44828,1
1,0,0,0,0,0,0.07811,0,0.44828,1
1,0,0,0,0,0,0.07811,0,0.44828,1
1,0,0,0,0,0,0.079973,0,0.48276,1
1,0,0,0,0,0,0.079973,0,0.48276,1
1,0,0,0,0,0,0.079973,0,0.48276,1
1,0,0,0,0,0,0.079833,0,0.51724,1
1,0,0,0,0,0,0.079833,0,0.51724,1
1,0,0,0,0,0,0.078265,0,0.55172,1
1,0,0,0,0,0,0.078265,0,0.55172,1
1,0,0,0,0,0,0.078265,0,0.55172,1
1,0,0,0,0,0,0.077315,0,0.58621,1
1,0,0,0,0,0,0.077315,0,0.58621,1
1,0,0,0,0,0,0.073718,0,0.62069,1
1,0,0,0,0,0,0.073718,0,0.62069,1
1,0,0,0,0,0,0.070647,0,0.65517,1
1,0,0,0,0,0,0.070647,0,0.65517,1
1,0,0,0,0,0,0.066387,0,0.68966,1
1,0,0,0,0,0,0.066387,0,0.68966,1
1,0,0,0,0,0,0.062963,0,0.72414,1
1,0,0,0,0,0,0.062963,0,0.72414,1
1,0,0,0,0,0,0.058409,0,0.75862,1
1,0,0,0,0,0,0.058409,0,0.75862,1
1,0,0,0,0,0,0.054909,0,0.7931,1
1,0,0,0,0,0,0.054909,0,0.7931,1
1,0,0,0,0,0,0.054909,0,0.7931,1
1,0,0,0,0,0,0.051259,0,0.82759,1
1,0,0,0,0,0,0.051259,0,0.82759,1
1,0,0,0,0,0,0.04845,0,0.86207,1
1,0,0,0,0,0,0.04845,0,0.86207,1
1,0,0,0,0,0,0.04845,0,0.86207,1
1,0,0,0,0,0,0.046141,0,0.89655,1
1,0,0,0,0,0,0.046141,0,0.89655,1
1,0,0,0,0,0,0.046141,0,0.89655,1
1,0,0,0,0,0,0.044498,0,0.93103,1
1,0,0,0,0,0,0.044498,0,0.93103,1
1,0,0,0,0,0,0.043575,0,0.96552,1
1,0,0,0,0,0,0.043575,0,0.96552,1
1,0,0,0,0,0,0.043575,0,0.96552,1
