"u:0","u:1","u:2","acc:0","acc:1","acc:2","p","Points:0","Points:1","Points:2"
1,0,0,0,0,0,0.033886,0,0,1
1,0,0,0,0,0,0.033886,0,0,1
1,0,0,0,0,0,0.033886,0,0,1
1,0,0,0,0,0,0.037897,0,1,1
1,0,0,0,0,0,0.037897,0,1,1
1,0,0,0,0,0,0.037897,0,1,1
0.99991,0,0,-0.00021336,0,0,-1.3485e-06,2.5,0,1
0.99991,0,0,-0.00021336,0,0,-1.3485e-06,2.5,0,1
0.99991,0,0,-0.00021336,0,0,-1.3485e-06,2.5,0,1
1.0001,0,0,0.00028964,0,0,4.0704e-06,2.5,1,1
1.0001,0,0,0.00028964,0,0,4.0704e-06,2.5,1,1
1.0001,0,0,0.00028964,0,0,4.0704e-06,2.5,1,1
0,0,0,2.867e-295,0,0,-0.26501,0.55,0.5,1
0,0,0,2.867e-295,0,0,-0.26501,0.55,0.5,1
0,0,0,2.867e-295,0,0,-0.26501,0.55,0.5,1
1,0,0,0,0,0,0.034938,0,0.034483,1
1,0,0,0,0,0,0.034938,0,0.034483,1
1,0,0,0,0,0,0.035908,0,0.068966,1
1,0,0,0,0,0,0.035908,0,0.068966,1
1,0,0,0,0,0,0.036061,0,0.10345,1
1,0,0,0,0,0,0.036061,0,0.10345,1
1,0,0,0,0,0,0.039924,0,0.13793,1
1,0,0,0,0,0,0.039924,0,0.13793,1
1,0,0,0,0,0,0.043323,0,0.17241,1
1,0,0,0,0,0,0.043323,0,0.17241,1
1,0,0,0,0,0,0.047411,0,0.2069,1
1,0,0,0,0,0,0.047411,0,0.2069,1
1,0,0,0,0,0,0.051466,0,0.24138,1
1,0,0,0,0,0,0.051466,0,0.24138,1
1,0,0,0,0,0,0.055852,0,0.27586,1
1,0,0,0,0,0,0.055852,0,0.27586,1
1,0,0,0,0,0,0.060817,0,0.31034,1
1,0,0,0,0,0,0.060817,0,0.31034,1
1,0,0,0,0,0,0.060817,0,0.31034,1
1,0,0,0,0,0,0.065209,0,0.34483,1
1,0,0,0,0,0,0.065209,0,0.34483,1
1,0,0,0,0,0,0.069701,0,0.37931,1
1,0,0,0,0,0,0.069701,0,0.37931,1
1,0,0,0,0,0,0.069701,0,0.37931,1
1,0,0,0,0,0,0.073322,0,0.41379,1
1,0,0,0,0,0,0.073322,0,0.41379,1
1,0,0,0,0,0,0.075583,0,0.44828,1
1,0,0,0,0,0,0.075583,0,0.44828,1
1,0,0,0,0,0,0.075583,0,0.44828,1
1,0,0,0,0,0,0.077673,0,0.48276,1
1,0,0,0,0,0,0.077673,0,0.48276,1
1,0,0,0,0,0,0.077673,0,0.48276,1
1,0,0,0,0,0,0.077587,0,0.51724,1
1,0,0,0,0,0,0.077587,0,0.51724,1
1,0,0,0,0,0,0.075971,0,0.55172,1
1,0,0,0,0,0,0.075971,0,0.55172,1
1,0,0,0,0,0,0.075971,0,0.55172,1
1,0,0,0,0,0,0.075033,0,0.58621,1
1,0,0,0,0,0,0.075033,0,0.58621,1
1,0,0,0,0,0,0.071205,0,0.62069,1
1,0,0,0,0,0,0.071205,0,0.62069,1
1,0,0,0,0,0,0.067989,0,0.65517,1
1,0,0,0,0,0,0.067989,0,0.65517,1
1,0,0,0,0,0,0.063384,0,0.68966,1
1,0,0,0,0,0,0.063384,0,0.68966,1
1,0,0,0,0,0,0.059743,0,0.72414,1
1,0,0,0,0,0,0.059743,0,0.72414,1
1,0,0,0,0,0,0.054799,0,0.75862,1
1,0,0,0,0,0,0.054799,0,0.75862,1
1,0,0,0,0,0,0.050975,0,0.7931,1
1,0,0,0,0,0,0.050975,0,0.7931,1
1,0,0,0,0,0,0.050975,0,0.7931,1
1,0,0,0,0,0,0.047018,0,0.82759,1
1,0,0,0,0,0,0.047018,0,0.82759,1
1,0,0,0,0,0,0.043929,0,0.86207,1
1,0,0,0,0,0,0.043929,0,0.86207,1
1,0,0,0,0,0,0.043929,0,0.86207,1
1,0,0,0,0,0,0.041365,0,0.89655,1
1,0,0,0,0,0,0.041365,0,0.89655,1
1,0,0,0,0,0,0.041365,0,0.89655,1
1,0,0,0,0,0,0.039564,0,0.93103,1
1,0,0,0,0,0,0.039564,0,0.93103,1
1,0,0,0,0,0,0.03857,0,0.96552,1
1,0,0,0,0,0,0.03857,0,0.96552,1
1,0,0,0,0,0,0.03857,0,0.96552,1
1.0006,0,0,0.00019212,0,0,0.033678,0.034722,0,1
1.0006,0,0,0.00019212,0,0,0.033678,0.034722,0,1
1.0016,0,0,0.00061878,0,0,0.032826,0.069444,0,1
1.0016,0,0,0.00061878,0,0,0.032826,0.069444,0,1
1.0039,0,0,0.0015208,0,0,0.030196,0.10417,0,1
1.0039,0,0,0.0015208,0,0,0.030196,0.10417,0,1
1.0039,0,0,0.0015208,0,0,0.030196,0.10417,0,1
1.0064,0,0,0.0023117,0,0,0.02854,0.13889,0,1
1.0064,0,0,0.0023117,0,0,0.02854,0.13889,0,1
1.0104,0,0,0.0036859,0,0,0.023725,0.17361,0,1
1.0104,0,0,0.0036859,0,0,0.023725,0.17361,0,1
1.0146,0,0,0.004888,0,0,0.019079,0.20833,0,1
1.0146,0,0,0.004888,0,0,0.019079,0.20833,0,1
1.0146,0,0,0.004888,0,0,0.019079,0.20833,0,1
1.02,0,0,0.0063599,0,0,0.013864,0.24306,0,1
1.02,0,0,0.0063599,0,0,0.013864,0.24306,0,1
1.02,0,0,0.0063599,0,0,0.013864,0.24306,0,1
1.0259,0,0,0.0081415,0,0,0.007762,0.27778,0,1
1.0259,0,0,0.0081415,0,0,0.007762,0.27778,0,1
1.033,0,0,0.0098024,0,0,-0.00013632,0.3125,0,1
1.033,0,0,0.0098024,0,0,-0.00013632,0.3125,0,1
1.0405,0,0,0.011654,0,0,-0.0080012,0.34722,0,1
1.0405,0,0,0.011654,0,0,-0.0080012,0.34722,0,1
1.0486,0,0,0.013452,0,0,-0.017199,0.38194,0,1
1.0486,0,0,0.013452,0,0,-0.017199,0.38194,0,1
1.057,0,0,0.015575,0,0,-0.02644,0.41667,0,1
1.057,0,0,0.015575,0,0,-0.02644,0.41667,0,1
1.0651,0,0,0.01776,0,0,-0.035921,0.45139,0,1
1.0651,0,0,0.01776,0,0,-0.035921,0.45139,0,1
1.0729,0,0,0.020149,0,0,-0.044649,0.48611,0,1
1.0729,0,0,0.020149,0,0,-0.044649,0.48611,0,1
1.0729,0,0,0.020149,0,0,-0.044649,0.48611,0,1
1.0799,0,0,0.022704,0,0,-0.052572,0.52083,0,1
1.0799,0,0,0.022704,0,0,-0.052572,0.52083,0,1
1.086,0,0,0.025913,0,0,-0.061191,0.55556,0,1
1.086,0,0,0.025913,0,0,-0.061191,0.55556,0,1
1.0907,0,0,0.0296,0,0,-0.066753,0.59028,0,1
1.0907,0,0,0.0296,0,0,-0.066753,0.59028,0,1
1.0934,0,0,0.033179,0,0,-0.071351,0.625,0,1
1.0934,0,0,0.033179,0,0,-0.071351,0.625,0,1
1.0934,0,0,0.033179,0,0,-0.071351,0.625,0,1
1.0947,0,0,0.038018,0,0,-0.073926,0.65972,0,1
1.0947,0,0,0.038018,0,0,-0.073926,0.65972,0,1
1.093,0,0,0.042084,0,0,-0.073868,0.69444,0,1
1.093,0,0,0.042084,0,0,-0.073868,0.69444,0,1
1.0907,0,0,0.047442,0,0,-0.072712,0.72917,0,1
1.0907,0,0,0.047442,0,0,-0.072712,0.72917,0,1
1.0907,0,0,0.047442,0,0,-0.072712,0.72917,0,1
1.0872,0,0,0.052503,0,0,-0.069947,0.76389,0,1
1.0872,0,0,0.052503,0,0,-0.069947,0.76389,0,1
