"u:0","u:1","u:2","acc:0","acc:1","acc:2","p","Points:0","Points:1","Points:2"
1,0,0,0,0,0,0.13304,0,0,1
1,0,0,0,0,0,0.13304,0,0,1
1,0,0,0,0,0,0.13304,0,0,1
1,0,0,0,0,0,0.11524,0,1,1
1,0,0,0,0,0,0.11524,0,1,1
1,0,0,0,0,0,0.11524,0,1,1
1.1054,0,0,-0.18971,0,0,-0.0028738,2.5,0,1
1.1054,0,0,-0.18971,0,0,-0.0028738,2.5,0,1
1.1054,0,0,-0.18971,0,0,-0.0028738,2.5,0,1
1.2126,0,0,-0.88961,0,0,0.0027448,2.5,1,1
1.2126,0,0,-0.88961,0,0,0.0027448,2.5,1,1
1.2126,0,0,-0.88961,0,0,0.0027448,2.5,1,1
0,0,0,0,0,0,-0.30828,0.55,0.5,1
0,0,0,0,0,0,-0.30828,0.55,0.5,1
0,0,0,0,0,0,-0.30828,0.55,0.5,1
1,0,0,0,0,0,0.13385,0,0.034483,1
1,0,0,0,0,0,0.13385,0,0.034483,1
1,0,0,0,0,0,0.13398,0,0.068966,1
1,0,0,0,0,0,0.13398,0,0.068966,1
1,0,0,0,0,0,0.13402,0,0.10345,1
1,0,0,0,0,0,0.13402,0,0.10345,1
1,0,0,0,0,0,0.13749,0,0.13793,1
1,0,0,0,0,0,0.13749,0,0.13793,1
1,0,0,0,0,0,0.13954,0,0.17241,1
1,0,0,0,0,0,0.13954,0,0.17241,1
1,0,0,0,0,0,0.14222,0,0.2069,1
1,0,0,0,0,0,0.14222,0,0.2069,1
1,0,0,0,0,0,0.14476,0,0.24138,1
1,0,0,0,0,0,0.14476,0,0.24138,1
1,0,0,0,0,0,0.1477,0,0.27586,1
1,0,0,0,0,0,0.1477,0,0.27586,1
1,0,0,0,0,0,0.15171,0,0.31034,1
1,0,0,0,0,0,0.15171,0,0.31034,1
1,0,0,0,0,0,0.15171,0,0.31034,1
1,0,0,0,0,0,0.15387,0,0.34483,1
1,0,0,0,0,0,0.15387,0,0.34483,1
1,0,0,0,0,0,0.15664,0,0.37931,1
1,0,0,0,0,0,0.15664,0,0.37931,1
1,0,0,0,0,0,0.15664,0,0.37931,1
1,0,0,0,0,0,0.15805,0,0.41379,1
1,0,0,0,0,0,0.15805,0,0.41379,1
1,0,0,0,0,0,0.15922,0,0.44828,1
1,0,0,0,0,0,0.15922,0,0.44828,1
1,0,0,0,0,0,0.15922,0,0.44828,1
1,0,0,0,0,0,0.15901,0,0.48276,1
1,0,0,0,0,0,0.15901,0,0.48276,1
1,0,0,0,0,0,0.15901,0,0.48276,1
1,0,0,0,0,0,0.1574,0,0.51724,1
1,0,0,0,0,0,0.1574,0,0.51724,1
1,0,0,0,0,0,0.15464,0,0.55172,1
1,0,0,0,0,0,0.15464,0,0.55172,1
