"u:0","u:1","u:2","acc:0","acc:1","acc:2","p","Points:0","Points:1","Points:2"
1,0,0,0,0,0,0.048358,0,0,1
1,0,0,0,0,0,0.048358,0,0,1
1,0,0,0,0,0,0.048358,0,0,1
1,0,0,0,0,0,0.034315,0,1,1
1,0,0,0,0,0,0.034315,0,1,1
1,0,0,0,0,0,0.034315,0,1,1
0.99701,0,0,-0.0047818,0,0,-3.7806e-05,2.5,0,1
0.99701,0,0,-0.0047818,0,0,-3.7806e-05,2.5,0,1
0.99701,0,0,-0.0047818,0,0,-3.7806e-05,2.5,0,1
1,0,0,-0.0040026,0,0,-2.1263e-05,2.5,1,1
1,0,0,-0.0040026,0,0,-2.1263e-05,2.5,1,1
1,0,0,-0.0040026,0,0,-2.1263e-05,2.5,1,1
0,0,0,0,0,0,-0.39888,0.55,0.5,1
0,0,0,0,0,0,-0.39888,0.55,0.5,1
0,0,0,0,0,0,-0.39888,0.55,0.5,1
1,0,0,0,0,0,0.049182,0,0.034483,1
1,0,0,0,0,0,0.049182,0,0.034483,1
1,0,0,0,0,0,0.049779,0,0.068966,1
1,0,0,0,0,0,0.049779,0,0.068966,1
1,0,0,0,0,0,0.049994,0,0.10345,1
1,0,0,0,0,0,0.049994,0,0.10345,1
1,0,0,0,0,0,0.052903,0,0.13793,1
1,0,0,0,0,0,0.052903,0,0.13793,1
1,0,0,0,0,0,0.055366,0,0.17241,1
1,0,0,0,0,0,0.055366,0,0.17241,1
1,0,0,0,0,0,0.058318,0,0.2069,1
1,0,0,0,0,0,0.058318,0,0.2069,1
1,0,0,0,0,0,0.061302,0,0.24138,1
1,0,0,0,0,0,0.061302,0,0.24138,1
1,0,0,0,0,0,0.064363,0,0.27586,1
1,0,0,0,0,0,0.064363,0,0.27586,1
1,0,0,0,0,0,0.068183,0,0.31034,1
1,0,0,0,0,0,0.068183,0,0.31034,1
1,0,0,0,0,0,0.068183,0,0.31034,1
1,0,0,0,0,0,0.070932,0,0.34483,1
1,0,0,0,0,0,0.070932,0,0.34483,1
1,0,0,0,0,0,0.073992,0,0.37931,1
1,0,0,0,0,0,0.073992,0,0.37931,1
1,0,0,0,0,0,0.073992,0,0.37931,1
1,0,0,0,0,0,0.076062,0,0.41379,1
1,0,0,0,0,0,0.076062,0,0.41379,1
1,0,0,0,0,0,0.076905,0,0.44828,1
1,0,0,0,0,0,0.076905,0,0.44828,1
1,0,0,0,0,0,0.076905,0,0.44828,1
1,0,0,0,0,0,0.077645,0,0.48276,1
1,0,0,0,0,0,0.077645,0,0.48276,1
1,0,0,0,0,0,0.077645,0,0.48276,1
1,0,0,0,0,0,0.076338,0,0.51724,1
1,0,0,0,0,0,0.076338,0,0.51724,1
1,0,0,0,0,0,0.073881,0,0.55172,1
1,0,0,0,0,0,0.073881,0,0.55172,1
1,0,0,0,0,0,0.073881,0,0.55172,1
1,0,0,0,0,0,0.072029,0,0.58621,1
1,0,0,0,0,0,0.072029,0,0.58621,1
1,0,0,0,0,0,0.067554,0,0.62069,1
1,0,0,0,0,0,0.067554,0,0.62069,1
1,0,0,0,0,0,0.063799,0,0.65517,1
1,0,0,0,0,0,0.063799,0,0.65517,1
1,0,0,0,0,0,0.059071,0,0.68966,1
1,0,0,0,0,0,0.059071,0,0.68966,1
1,0,0,0,0,0,0.055281,0,0.72414,1
1,0,0,0,0,0,0.055281,0,0.72414,1
1,0,0,0,0,0,0.050378,0,0.75862,1
1,0,0,0,0,0,0.050378,0,0.75862,1
1,0,0,0,0,0,0.046643,0,0.7931,1
