"u:0","u:1","u:2","acc:0","acc:1","acc:2","p","Points:0","Points:1","Points:2"
1,0,0,0,0,0,0.039591,0,0,1
1,0,0,0,0,0,0.039591,0,0,1
1,0,0,0,0,0,0.039591,0,0,1
1,0,0,0,0,0,0.028659,0,1,1
1,0,0,0,0,0,0.028659,0,1,1
1,0,0,0,0,0,0.028659,0,1,1
0.99953,0,0,-0.0021602,0,0,-9.9555e-06,2.5,0,1
0.99953,0,0,-0.0021602,0,0,-9.9555e-06,2.5,0,1
0.99953,0,0,-0.0021602,0,0,-9.9555e-06,2.5,0,1
1.0003,0,0,0.00063195,0,0,1.0144e-05,2.5,1,1
1.0003,0,0,0.00063195,0,0,1.0144e-05,2.5,1,1
1.0003,0,0,0.00063195,0,0,1.0144e-05,2.5,1,1
0,0,0,0,0,0,-0.28341,0.55,0.5,1
0,0,0,0,0,0,-0.28341,0.55,0.5,1
0,0,0,0,0,0,-0.28341,0.55,0.5,1
1,0,0,0,0,0,0.040591,0,0.034483,1
1,0,0,0,0,0,0.040591,0,0.034483,1
1,0,0,0,0,0,0.041479,0,0.068966,1
1,0,0,0,0,0,0.041479,0,0.068966,1
1,0,0,0,0,0,0.041691,0,0.10345,1
1,0,0,0,0,0,0.041691,0,0.10345,1
1,0,0,0,0,0,0.0453,0,0.13793,1
1,0,0,0,0,0,0.0453,0,0.13793,1
1,0,0,0,0,0,0.048468,0,0.17241,1
1,0,0,0,0,0,0.048468,0,0.17241,1
1,0,0,0,0,0,0.052204,0,0.2069,1
1,0,0,0,0,0,0.052204,0,0.2069,1
1,0,0,0,0,0,0.055947,0,0.24138,1
1,0,0,0,0,0,0.055947,0,0.24138,1
1,0,0,0,0,0,0.059918,0,0.27586,1
1,0,0,0,0,0,0.059918,0,0.27586,1
1,0,0,0,0,0,0.064367,0,0.31034,1
1,0,0,0,0,0,0.064367,0,0.31034,1
1,0,0,0,0,0,0.064367,0,0.31034,1
1,0,0,0,0,0,0.068068,0,0.34483,1
1,0,0,0,0,0,0.068068,0,0.34483,1
1,0,0,0,0,0,0.071893,0,0.37931,1
1,0,0,0,0,0,0.071893,0,0.37931,1
1,0,0,0,0,0,0.071893,0,0.37931,1
1,0,0,0,0,0,0.074687,0,0.41379,1
1,0,0,0,0,0,0.074687,0,0.41379,1
1,0,0,0,0,0,0.076048,0,0.44828,1
1,0,0,0,0,0,0.076048,0,0.44828,1
1,0,0,0,0,0,0.076048,0,0.44828,1
1,0,0,0,0,0,0.077213,0,0.48276,1
1,0,0,0,0,0,0.077213,0,0.48276,1
1,0,0,0,0,0,0.077213,0,0.48276,1
1,0,0,0,0,0,0.076133,0,0.51724,1
1,0,0,0,0,0,0.076133,0,0.51724,1
1,0,0,0,0,0,0.073571,0,0.55172,1
1,0,0,0,0,0,0.073571,0,0.55172,1
1,0,0,0,0,0,0.073571,0,0.55172,1
1,0,0,0,0,0,0.071737,0,0.58621,1
1,0,0,0,0,0,0.071737,0,0.58621,1
1,0,0,0,0,0,0.066967,0,0.62069,1
1,0,0,0,0,0,0.066967,0,0.62069,1
1,0,0,0,0,0,0.062867,0,0.65517,1
1,0,0,0,0,0,0.062867,0,0.65517,1
1,0,0,0,0,0,0.057517,0,0.68966,1
1,0,0,0,0,0,0.057517,0,0.68966,1
1,0,0,0,0,0,0.053193,0,0.72414,1
1,0,0,0,0,0,0.053193,0,0.72414,1
1,0,0,0,0,0,0.047593,0,0.75862,1
1,0,0,0,0,0,0.047593,0,0.75862,1
1,0,0,0,0,0,0.043227,0,0.7931,1
1,0,0,0,0,0,0.043227,0,0.7931,1
1,0,0,0,0,0,0.043227,0,0.7931,1
1,0,0,0,0,0,0.03883,0,0.82759,1
1,0,0,0,0,0,0.03883,0,0.82759,1
1,0,0,0,0,0,0.035336,0,0.86207,1
1,0,0,0,0,0,0.035336,0,0.86207,1
1,0,0,0,0,0,0.035336,0,0.86207,1
1,0,0,0,0,0,0.032479,0,0.89655,1
1,0,0,0,0,0,0.032479,0,0.89655,1
1,0,0,0,0,0,0.032479,0,0.89655,1
1,0,0,0,0,0,0.030515,0,0.93103,1
1,0,0,0,0,0,0.030515,0,0.93103,1
1,0,0,0,0,0,0.029382,0,0.96552,1
