"u:0","u:1","u:2","acc:0","acc:1","acc:2","p","Points:0","Points:1","Points:2"
1,0,0,0,0,0,0.038585,0,0,1
1,0,0,0,0,0,0.038585,0,0,1
1,0,0,0,0,0,0.038585,0,0,1
1,0,0,0,0,0,0.036751,0,1,1
1,0,0,0,0,0,0.036751,0,1,1
1,0,0,0,0,0,0.036751,0,1,1
0.99995,0,0,-0.00011861,0,0,-7.6511e-07,2.5,0,1
0.99995,0,0,-0.00011861,0,0,-7.6511e-07,2.5,0,1
0.99995,0,0,-0.00011861,0,0,-7.6511e-07,2.5,0,1
1,0,0,0.00017596,0,0,2.5404e-06,2.5,1,1
1,0,0,0.00017596,0,0,2.5404e-06,2.5,1,1
1,0,0,0.00017596,0,0,2.5404e-06,2.5,1,1
0,0,0,4.6071e-235,0,0,-0.26866,0.55,0.5,1
0,0,0,4.6071e-235,0,0,-0.26866,0.55,0.5,1
0,0,0,4.6071e-235,0,0,-0.26866,0.55,0.5,1
1,0,0,0,0,0,0.039565,0,0.034483,1
1,0,0,0,0,0,0.039565,0,0.034483,1
1,0,0,0,0,0,0.040488,0,0.068966,1
1,0,0,0,0,0,0.040488,0,0.068966,1
1,0,0,0,0,0,0.04065,0,0.10345,1
1,0,0,0,0,0,0.04065,0,0.10345,1
1,0,0,0,0,0,0.044238,0,0.13793,1
1,0,0,0,0,0,0.044238,0,0.13793,1
1,0,0,0,0,0,0.047431,0,0.17241,1
1,0,0,0,0,0,0.047431,0,0.17241,1
1,0,0,0,0,0,0.05125,0,0.2069,1
1,0,0,0,0,0,0.05125,0,0.2069,1
1,0,0,0,0,0,0.05503,0,0.24138,1
1,0,0,0,0,0,0.05503,0,0.24138,1
1,0,0,0,0,0,0.059126,0,0.27586,1
1,0,0,0,0,0,0.059126,0,0.27586,1
1,0,0,0,0,0,0.06369,0,0.31034,1
1,0,0,0,0,0,0.06369,0,0.31034,1
1,0,0,0,0,0,0.06369,0,0.31034,1
1,0,0,0,0,0,0.067698,0,0.34483,1
1,0,0,0,0,0,0.067698,0,0.34483,1
1,0,0,0,0,0,0.071785,0,0.37931,1
1,0,0,0,0,0,0.071785,0,0.37931,1
1,0,0,0,0,0,0.071785,0,0.37931,1
1,0,0,0,0,0,0.074979,0,0.41379,1
1,0,0,0,0,0,0.074979,0,0.41379,1
1,0,0,0,0,0,0.076821,0,0.44828,1
1,0,0,0,0,0,0.076821,0,0.44828,1
1,0,0,0,0,0,0.076821,0,0.44828,1
1,0,0,0,0,0,0.078469,0,0.48276,1
1,0,0,0,0,0,0.078469,0,0.48276,1
1,0,0,0,0,0,0.078469,0,0.48276,1
1,0,0,0,0,0,0.077992,0,0.51724,1
1,0,0,0,0,0,0.077992,0,0.51724,1
1,0,0,0,0,0,0.076043,0,0.55172,1
1,0,0,0,0,0,0.076043,0,0.55172,1
1,0,0,0,0,0,0.076043,0,0.55172,1
1,0,0,0,0,0,0.074765,0,0.58621,1
1,0,0,0,0,0,0.074765,0,0.58621,1
1,0,0,0,0,0,0.070693,0,0.62069,1
1,0,0,0,0,0,0.070693,0,0.62069,1
1,0,0,0,0,0,0.067214,0,0.65517,1
1,0,0,0,0,0,0.067214,0,0.65517,1
1,0,0,0,0,0,0.062488,0,0.68966,1
1,0,0,0,0,0,0.062488,0,0.68966,1
1,0,0,0,0,0,0.058693,0,0.72414,1
1,0,0,0,0,0,0.058693,0,0.72414,1
1,0,0,0,0,0,0.053686,0,0.75862,1
1,0,0,0,0,0,0.053686,0,0.75862,1
1,0,0,0,0,0,0.049817,0,0.7931,1
1,0,0,0,0,0,0.049817,0,0.7931,1
1,0,0,0,0,0,0.049817,0,0.7931,1
1,0,0,0,0,0,0.045843,0,0.82759,1
1,0,0,0,0,0,0.045843,0,0.82759,1
1,0,0,0,0,0,0.04274,0,0.86207,1
1,0,0,0,0,0,0.04274,0,0.86207,1
1,0,0,0,0,0,0.04274,0,0.86207,1
1,0,0,0,0,0,0.04019,0,0.89655,1
1,0,0,0,0,0,0.04019,0,0.89655,1
1,0,0,0,0,0,0.04019,0,0.89655,1
1,0,0,0,0,0,0.038407,0,0.93103,1
1,0,0,0,0,0,0.038407,0,0.93103,1
1,0,0,0,0,0,0.037397,0,0.96552,1
1,0,0,0,0,0,0.037397,0,0.96552,1
1,0,0,0,0,0,0.037397,0,0.96552,1
1.0006,0,0,8.3138e-05,0,0,0.038394,0.034722,0,1
1.0006,0,0,8.3138e-05,0,0,0.038394,0.034722,0,1
1.0016,0,0,8.5799e-05,0,0,0.037587,0.069444,0,1
1.0016,0,0,8.5799e-05,0,0,0.037587,0.069444,0,1
1.0037,0,0,0.00040035,0,0,0.0351,0.10417,0,1
1.0037,0,0,0.00040035,0,0,0.0351,0.10417,0,1
1.0037,0,0,0.00040035,0,0,0.0351,0.10417,0,1
1.0061,0,0,0.00073485,0,0,0.033583,0.13889,0,1
1.0061,0,0,0.00073485,0,0,0.033583,0.13889,0,1
1.0099,0,0,0.0014035,0,0,0.029019,0.17361,0,1
1.0099,0,0,0.0014035,0,0,0.029019,0.17361,0,1
1.014,0,0,0.0021025,0,0,0.024708,0.20833,0,1
1.014,0,0,0.0021025,0,0,0.024708,0.20833,0,1
1.014,0,0,0.0021025,0,0,0.024708,0.20833,0,1
1.0191,0,0,0.0031428,0,0,0.01978,0.24306,0,1
1.0191,0,0,0.0031428,0,0,0.01978,0.24306,0,1
1.0191,0,0,0.0031428,0,0,0.01978,0.24306,0,1
1.0247,0,0,0.0045044,0,0,0.014072,0.27778,0,1
1.0247,0,0,0.0045044,0,0,0.014072,0.27778,0,1
1.0314,0,0,0.0065113,0,0,0.0067085,0.3125,0,1
1.0314,0,0,0.0065113,0,0,0.0067085,0.3125,0,1
1.0386,0,0,0.0088241,0,0,-0.00075276,0.34722,0,1
1.0386,0,0,0.0088241,0,0,-0.00075276,0.34722,0,1
1.0462,0,0,0.012141,0,0,-0.0093004,0.38194,0,1
1.0462,0,0,0.012141,0,0,-0.0093004,0.38194,0,1
1.054,0,0,0.01607,0,0,-0.018044,0.41667,0,1
1.054,0,0,0.01607,0,0,-0.018044,0.41667,0,1
1.0614,0,0,0.021549,0,0,-0.026752,0.45139,0,1
1.0614,0,0,0.021549,0,0,-0.026752,0.45139,0,1
1.0684,0,0,0.027023,0,0,-0.034808,0.48611,0,1
1.0684,0,0,0.027023,0,0,-0.034808,0.48611,0,1
1.0684,0,0,0.027023,0,0,-0.034808,0.48611,0,1
1.0745,0,0,0.034115,0,0,-0.041986,0.52083,0,1
1.0745,0,0,0.034115,0,0,-0.041986,0.52083,0,1
1.0795,0,0,0.042515,0,0,-0.050029,0.55556,0,1
1.0795,0,0,0.042515,0,0,-0.050029,0.55556,0,1
1.0828,0,0,0.051837,0,0,-0.054617,0.59028,0,1
1.0828,0,0,0.051837,0,0,-0.054617,0.59028,0,1
1.0843,0,0,0.058769,0,0,-0.058658,0.625,0,1
1.0843,0,0,0.058769,0,0,-0.058658,0.625,0,1
1.0843,0,0,0.058769,0,0,-0.058658,0.625,0,1
1.0841,0,0,0.067582,0,0,-0.060585,0.65972,0,1
1.0841,0,0,0.067582,0,0,-0.060585,0.65972,0,1
1.0813,0,0,0.073284,0,0,-0.060204,0.69444,0,1
1.0813,0,0,0.073284,0,0,-0.060204,0.69444,0,1
1.0777,0,0,0.080657,0,0,-0.058755,0.72917,0,1
1.0777,0,0,0.080657,0,0,-0.058755,0.72917,0,1
1.0777,0,0,0.080657,0,0,-0.058755,0.72917,0,1
1.073,0,0,0.082314,0,0,-0.05646,0.76389,0,1
1.073,0,0,0.082314,0,0,-0.05646,0.76389,0,1
1.0672,0,0,0.071011,0,0,-0.052627,0.79861,0,1
1.0672,0,0,0.071011,0,0,-0.052627,0.79861,0,1
1.061,0,0,0.058635,0,0,-0.048917,0.83333,0,1
1.061,0,0,0.058635,0,0,-0.048917,0.83333,0,1
1.0549,0,0,0.047281,0,0,-0.04388,0.86806,0,1
1.0549,0,0,0.047281,0,0,-0.04388,0.86806,0,1
1.0486,0,0,0.04355,0,0,-0.03883,0.90278,0,1
1.0486,0,0,0.04355,0,0,-0.03883,0.90278,0,1
1.0425,0,0,0.042885,0,0,-0.03421,0.9375,0,1
1.0425,0,0,0.042885,0,0,-0.03421,0.9375,0,1
1.0369,0,0,0.041916,0,0,-0.029016,0.97222,0,1
1.0369,0,0,0.041916,0,0,-0.029016,0.97222,0,1
1.0314,0,0,0.040208,0,0,-0.025412,1.0069,0,1
1.0314,0,0,0.040208,0,0,-0.025412,1.0069,0,1
1.0264,0,0,0.037397,0,0,-0.021175,1.0417,0,1
1.0264,0,0,0.037397,0,0,-0.021175,1.0417,0,1
1.0219,0,0,0.033069,0,0,-0.01789,1.0764,0,1
1.0219,0,0,0.033069,0,0,-0.01789,1.0764,0,1
1.018,0,0,0.028331,0,0,-0.01458,1.1111,0,1
1.018,0,0,0.028331,0,0,-0.01458,1.1111,0,1
1.0147,0,0,0.024027,0,0,-0.012433,1.1458,0,1
1.0147,0,0,0.024027,0,0,-0.012433,1.1458,0,1
1.0119,0,0,0.019894,0,0,-0.010307,1.1806,0,1
1.0119,0,0,0.019894,0,0,-0.010307,1.1806,0,1
1.0096,0,0,0.015822,0,0,-0.0084876,1.2153,0,1
1.0096,0,0,0.015822,0,0,-0.0084876,1.2153,0,1
1.0096,0,0,0.015822,0,0,-0.0084876,1.2153,0,1
1.0076,0,0,0.012519,0,0,-0.0068673,1.25,0,1
1.0076,0,0,0.012519,0,0,-0.0068673,1.25,0,1
1.006,0,0,0.0096611,0,0,-0.0054734,1.2847,0,1
1.006,0,0,0.0096611,0,0,-0.0054734,1.2847,0,1
1.0047,0,0,0.0072679,0,0,-0.0047747,1.3194,0,1
1.0047,0,0,0.0072679,0,0,-0.0047747,1.3194,0,1
1.0037,0,0,0.0051403,0,0,-0.0038199,1.3542,0,1
1.0037,0,0,0.0051403,0,0,-0.0038199,1.3542,0,1
1.0037,0,0,0.0051403,0,0,-0.0038199,1.3542,0,1
1.0029,0,0,0.0035127,0,0,-0.0030629,1.3889,0,1
1.0029,0,0,0.0035127,0,0,-0.0030629,1.3889,0,1
1.0022,0,0,0.0023122,0,0,-0.0025204,1.4236,0,1
1.0022,0,0,0.0023122,0,0,-0.0025204,1.4236,0,1
1.0017,0,0,0.001441,0,0,-0.0020168,1.4583,0,1
1.0017,0,0,0.001441,0,0,-0.0020168,1.4583,0,1
1.0013,0,0,0.00076499,0,0,-0.001681,1.4931,0,1
1.0013,0,0,0.00076499,0,0,-0.001681,1.4931,0,1
1.0013,0,0,0.00076499,0,0,-0.001681,1.4931,0,1
1.001,0,0,0.00026459,0,0,-0.0013238,1.5278,0,1
1.001,0,0,0.00026459,0,0,-0.0013238,1.5278,0,1
1.0007,0,0,-5.6934e-05,0,0,-0.0011122,1.5625,0,1
1.0007,0,0,-5.6934e-05,0,0,-0.0011122,1.5625,0,1
1.0005,0,0,-0.00033045,0,0,-0.00091314,1.5972,0,1
1.0005,0,0,-0.00033045,0,0,-0.00091314,1.5972,0,1
1.0004,0,0,-0.00044579,0,0,-0.00072128,1.6319,0,1
1.0004,0,0,-0.00044579,0,0,-0.00072128,1.6319,0,1
1.0002,0,0,-0.00055152,0,0,-0.00059823,1.6667,0,1
1.0002,0,0,-0.00055152,0,0,-0.00059823,1.6667,0,1
1.0002,0,0,-0.00055152,0,0,-0.00059823,1.6667,0,1
1.0001,0,0,-0.00058846,0,0,-0.00049102,1.7014,0,1
1.0001,0,0,-0.00058846,0,0,-0.00049102,1.7014,0,1
1.0001,0,0,-0.00058846,0,0,-0.00049102,1.7014,0,1
1.0001,0,0,-0.00060253,0,0,-0.00041906,1.7361,0,1
1.0001,0,0,-0.00060253,0,0,-0.00041906,1.7361,0,1
1,0,0,-0.00060114,0,0,-0.00033103,1.7708,0,1
1,0,0,-0.00060114,0,0,-0.00033103,1.7708,0,1
0.99998,0,0,-0.00059636,0,0,-0.00027584,1.8056,0,1
0.99998,0,0,-0.00059636,0,0,-0.00027584,1.8056,0,1
0.99995,0,0,-0.00057381,0,0,-0.00022311,1.8403,0,1
0.99995,0,0,-0.00057381,0,0,-0.00022311,1.8403,0,1
0.99993,0,0,-0.00055239,0,0,-0.00018424,1.875,0,1
0.99993,0,0,-0.00055239,0,0,-0.00018424,1.875,0,1
0.99992,0,0,-0.0005204,0,0,-0.00015078,1.9097,0,1
0.99992,0,0,-0.0005204,0,0,-0.00015078,1.9097,0,1
0.99992,0,0,-0.00048743,0,0,-0.00012665,1.9444,0,1
0.99992,0,0,-0.00048743,0,0,-0.00012665,1.9444,0,1
0.99991,0,0,-0.00046458,0,0,-0.00010087,1.9792,0,1
0.99991,0,0,-0.00046458,0,0,-0.00010087,1.9792,0,1
0.99991,0,0,-0.00042861,0,0,-8.8557e-05,2.0139,0,1
0.99991,0,0,-0.00042861,0,0,-8.8557e-05,2.0139,0,1
0.99991,0,0,-0.00039846,0,0,-6.8944e-05,2.0486,0,1
0.99991,0,0,-0.00039846,0,0,-6.8944e-05,2.0486,0,1
0.99991,0,0,-0.00037026,0,0,-6.3899e-05,2.0833,0,1
0.99991,0,0,-0.00037026,0,0,-6.3899e-05,2.0833,0,1
0.99991,0,0,-0.00037026,0,0,-6.3899e-05,2.0833,0,1
0.99991,0,0,-0.00033593,0,0,-5.1558e-05,2.1181,0,1
0.99991,0,0,-0.00033593,0,0,-5.1558e-05,2.1181,0,1
0.99992,0,0,-0.00030579,0,0,-4.2651e-05,2.1528,0,1
0.99992,0,0,-0.00030579,0,0,-4.2651e-05,2.1528,0,1
0.99992,0,0,-0.00028096,0,0,-3.6635e-05,2.1875,0,1
0.99992,0,0,-0.00028096,0,0,-3.6635e-05,2.1875,0,1
0.99992,0,0,-0.00028096,0,0,-3.6635e-05,2.1875,0,1
0.99992,0,0,-0.00025438,0,0,-2.8859e-05,2.2222,0,1
0.99992,0,0,-0.00025438,0,0,-2.8859e-05,2.2222,0,1
0.99993,0,0,-0.0002323,0,0,-2.505e-05,2.2569,0,1
0.99993,0,0,-0.0002323,0,0,-2.505e-05,2.2569,0,1
0.99993,0,0,-0.0002323,0,0,-2.505e-05,2.2569,0,1
0.99993,0,0,-0.00021086,0,0,-2.0666e-05,2.2917,0,1
0.99993,0,0,-0.00021086,0,0,-2.0666e-05,2.2917,0,1
0.99993,0,0,-0.00018992,0,0,-1.4863e-05,2.3264,0,1
0.99993,0,0,-0.00018992,0,0,-1.4863e-05,2.3264,0,1
0.99994,0,0,-0.00017446,0,0,-1.3103e-05,2.3611,0,1
0.99994,0,0,-0.00017446,0,0,-1.3103e-05,2.3611,0,1
0.99994,0,0,-0.00017446,0,0,-1.3103e-05,2.3611,0,1
0.99994,0,0,-0.00015654,0,0,-1.0123e-05,2.3958,0,1
0.99994,0,0,-0.00015654,0,0,-1.0123e-05,2.3958,0,1
0.99994,0,0,-0.00014135,0,0,-5.9757e-06,2.4306,0,1
0.99994,0,0,-0.00014135,0,0,-5.9757e-06,2.4306,0,1
0.99995,0,0,-0.0001258,0,0,-1.8137e-06,2.4653,0,1
0.99995,0,0,-0.0001258,0,0,-1.8137e-06,2.4653,0,1
0.99995,-1.8891e-06,0,-0.00012109,-1.0666e-05,0,-3.5077e-07,2.5,0.034429,1
0.99995,-1.8891e-06,0,-0.00012109,-1.0666e-05,0,-3.5077e-07,2.5,0.034429,1
0.99995,-3.8672e-06,0,-0.00011717,-2.2257e-05,0,-5.7864e-07,2.5,0.068859,1
0.99995,-3.8672e-06,0,-0.00011717,-2.2257e-05,0,-5.7864e-07,2.5,0.068859,1
0.99995,-5.648e-06,0,-0.00011336,-3.3091e-05,0,-2.6606e-07,2.5,0.10329,1
0.99995,-5.648e-06,0,-0.00011336,-3.3091e-05,0,-2.6606e-07,2.5,0.10329,1
0.99995,-8.0506e-06,0,-0.00010943,-4.3459e-05,0,-1.6769e-07,2.5,0.13772,1
0.99995,-8.0506e-06,0,-0.00010943,-4.3459e-05,0,-1.6769e-07,2.5,0.13772,1
0.99995,-1.0048e-05,0,-0.00010094,-5.3358e-05,0,7.1405e-08,2.5,0.17215,1
0.99995,-1.0048e-05,0,-0.00010094,-5.3358e-05,0,7.1405e-08,2.5,0.17215,1
0.99995,-1.2142e-05,0,-9.0568e-05,-6.3985e-05,0,-5.9465e-08,2.5,0.20658,1
0.99995,-1.2142e-05,0,-9.0568e-05,-6.3985e-05,0,-5.9465e-08,2.5,0.20658,1
0.99996,-1.4347e-05,0,-8.1076e-05,-7.2414e-05,0,-5.737e-07,2.5,0.24101,1
0.99996,-1.4347e-05,0,-8.1076e-05,-7.2414e-05,0,-5.737e-07,2.5,0.24101,1
0.99996,-1.4347e-05,0,-8.1076e-05,-7.2414e-05,0,-5.737e-07,2.5,0.24101,1
0.99996,-1.4347e-05,0,-8.1076e-05,-7.2414e-05,0,-5.737e-07,2.5,0.24101,1
0.99996,-1.6566e-05,0,-7.0361e-05,-8.1116e-05,0,-3.0418e-07,2.5,0.27534,1
0.99996,-1.6566e-05,0,-7.0361e-05,-8.1116e-05,0,-3.0418e-07,2.5,0.27534,1
0.99996,-1.8131e-05,0,-6.0766e-05,-8.7821e-05,0,-2.362e-07,2.5,0.30393,1
0.99996,-1.8131e-05,0,-6.0766e-05,-8.7821e-05,0,-2.362e-07,2.5,0.30393,1
0.99996,-1.9536e-05,0,-5.2629e-05,-9.2466e-05,0,-1.1365e-07,2.5,0.32422,1
0.99996,-1.9536e-05,0,-5.2629e-05,-9.2466e-05,0,-1.1365e-07,2.5,0.32422,1
0.99997,-2.041e-05,0,-4.5982e-05,-9.5599e-05,0,-3.1453e-08,2.5,0.33873,1
0.99997,-2.041e-05,0,-4.5982e-05,-9.5599e-05,0,-3.1453e-08,2.5,0.33873,1
0.99997,-2.1031e-05,0,-4.2196e-05,-9.7332e-05,0,-1.4587e-07,2.5,0.34936,1
0.99997,-2.1031e-05,0,-4.2196e-05,-9.7332e-05,0,-1.4587e-07,2.5,0.34936,1
0.99997,-2.1441e-05,0,-3.842e-05,-9.886e-05,0,-1.2186e-08,2.5,0.35798,1
0.99997,-2.1441e-05,0,-3.842e-05,-9.886e-05,0,-1.2186e-08,2.5,0.35798,1
0.99997,-2.1441e-05,0,-3.842e-05,-9.886e-05,0,-1.2186e-08,2.5,0.35798,1
0.99997,-2.1905e-05,0,-3.4734e-05,-0.00010067,0,-2.1132e-08,2.5,0.36659,1
0.99997,-2.1905e-05,0,-3.4734e-05,-0.00010067,0,-2.1132e-08,2.5,0.36659,1
0.99997,-2.2408e-05,0,-3.1953e-05,-0.00010204,0,-2.0547e-08,2.5,0.37519,1
0.99997,-2.2408e-05,0,-3.1953e-05,-0.00010204,0,-2.0547e-08,2.5,0.37519,1
0.99997,-2.2408e-05,0,-3.1953e-05,-0.00010204,0,-2.0547e-08,2.5,0.37519,1
0.99997,-2.2933e-05,0,-2.8709e-05,-0.00010443,0,-7.5179e-08,2.5,0.3838,1
0.99997,-2.2933e-05,0,-2.8709e-05,-0.00010443,0,-7.5179e-08,2.5,0.3838,1
0.99997,-2.3443e-05,0,-2.4999e-05,-0.000105,0,-8.8037e-08,2.5,0.39241,1
0.99997,-2.3443e-05,0,-2.4999e-05,-0.000105,0,-8.8037e-08,2.5,0.39241,1
0.99997,-2.3896e-05,0,-2.2343e-05,-0.0001072,0,-8.3706e-08,2.5,0.40102,1
0.99997,-2.3896e-05,0,-2.2343e-05,-0.0001072,0,-8.3706e-08,2.5,0.40102,1
0.99997,-2.4403e-05,0,-1.6636e-05,-0.00010832,0,-3.9687e-08,2.5,0.40962,1
0.99997,-2.4403e-05,0,-1.6636e-05,-0.00010832,0,-3.9687e-08,2.5,0.40962,1
0.99998,-2.4835e-05,0,-1.3127e-05,-0.00010942,0,-4.9129e-08,2.5,0.41823,1
0.99998,-2.4835e-05,0,-1.3127e-05,-0.00010942,0,-4.9129e-08,2.5,0.41823,1
0.99998,-2.525e-05,0,-9.2232e-06,-0.00011069,0,-4.0605e-08,2.5,0.42684,1
0.99998,-2.525e-05,0,-9.2232e-06,-0.00011069,0,-4.0605e-08,2.5,0.42684,1
0.99998,-2.5647e-05,0,-5.7186e-06,-0.0001119,0,-5.5974e-10,2.5,0.43544,1
0.99998,-2.5647e-05,0,-5.7186e-06,-0.0001119,0,-5.5974e-10,2.5,0.43544,1
0.99998,-2.6128e-05,0,-1.4887e-06,-0.00011338,0,-6.1113e-08,2.5,0.44405,1
0.99998,-2.6128e-05,0,-1.4887e-06,-0.00011338,0,-6.1113e-08,2.5,0.44405,1
0.99998,-2.6501e-05,0,3.293e-06,-0.00011434,0,-8.0759e-08,2.5,0.45266,1
0.99998,-2.6501e-05,0,3.293e-06,-0.00011434,0,-8.0759e-08,2.5,0.45266,1
0.99998,-2.6905e-05,0,7.4746e-06,-0.00011461,0,-3.6238e-08,2.5,0.46127,1
0.99998,-2.6905e-05,0,7.4746e-06,-0.00011461,0,-3.6238e-08,2.5,0.46127,1
0.99998,-2.7272e-05,0,9.7229e-06,-0.00011626,0,-6.0586e-08,2.5,0.46987,1
0.99998,-2.7272e-05,0,9.7229e-06,-0.00011626,0,-6.0586e-08,2.5,0.46987,1
0.99998,-2.7601e-05,0,1.1576e-05,-0.00011589,0,-2.5594e-08,2.5,0.47848,1
0.99998,-2.7601e-05,0,1.1576e-05,-0.00011589,0,-2.5594e-08,2.5,0.47848,1
0.99998,-2.7897e-05,0,1.618e-05,-0.00011789,0,6.5636e-08,2.5,0.48709,1
0.99998,-2.7897e-05,0,1.618e-05,-0.00011789,0,6.5636e-08,2.5,0.48709,1
0.99998,-2.7897e-05,0,1.618e-05,-0.00011789,0,6.5636e-08,2.5,0.48709,1
0.99998,-2.8208e-05,0,2.134e-05,-0.00011817,0,4.8573e-09,2.5,0.4957,1
0.99998,-2.8208e-05,0,2.134e-05,-0.00011817,0,4.8573e-09,2.5,0.4957,1
0.99998,-2.8208e-05,0,2.134e-05,-0.00011817,0,4.8573e-09,2.5,0.4957,1
0.99999,-2.8568e-05,0,2.5193e-05,-0.00011839,0,-6.6944e-09,2.5,0.5043,1
0.99999,-2.8568e-05,0,2.5193e-05,-0.00011839,0,-6.6944e-09,2.5,0.5043,1
0.99999,-2.8828e-05,0,2.9007e-05,-0.00011917,0,1.5493e-08,2.5,0.51291,1
0.99999,-2.8828e-05,0,2.9007e-05,-0.00011917,0,1.5493e-08,2.5,0.51291,1
0.99999,-2.9162e-05,0,3.2977e-05,-0.00011955,0,-9.6395e-08,2.5,0.52152,1
0.99999,-2.9162e-05,0,3.2977e-05,-0.00011955,0,-9.6395e-08,2.5,0.52152,1
0.99999,-2.9325e-05,0,3.7017e-05,-0.00011969,0,-7.1721e-08,2.5,0.53013,1
0.99999,-2.9325e-05,0,3.7017e-05,-0.00011969,0,-7.1721e-08,2.5,0.53013,1
0.99999,-2.9537e-05,0,4.0916e-05,-0.00011993,0,-6.0505e-08,2.5,0.53873,1
0.99999,-2.9537e-05,0,4.0916e-05,-0.00011993,0,-6.0505e-08,2.5,0.53873,1
0.99999,-2.9739e-05,0,4.497e-05,-0.00012005,0,-9.7918e-08,2.5,0.54734,1
0.99999,-2.9739e-05,0,4.497e-05,-0.00012005,0,-9.7918e-08,2.5,0.54734,1
0.99999,-2.9869e-05,0,4.8818e-05,-0.00012003,0,-1.1528e-07,2.5,0.55595,1
0.99999,-2.9869e-05,0,4.8818e-05,-0.00012003,0,-1.1528e-07,2.5,0.55595,1
0.99999,-2.998e-05,0,5.2588e-05,-0.00011986,0,9.0711e-09,2.5,0.56456,1
0.99999,-2.998e-05,0,5.2588e-05,-0.00011986,0,9.0711e-09,2.5,0.56456,1
0.99999,-2.998e-05,0,5.2588e-05,-0.00011986,0,9.0711e-09,2.5,0.56456,1
0.99999,-3.0167e-05,0,5.638e-05,-0.00011987,0,-6.1842e-08,2.5,0.57316,1
0.99999,-3.0167e-05,0,5.638e-05,-0.00011987,0,-6.1842e-08,2.5,0.57316,1
0.99999,-3.0206e-05,0,5.9938e-05,-0.00011961,0,-1.2113e-07,2.5,0.58177,1
0.99999,-3.0206e-05,0,5.9938e-05,-0.00011961,0,-1.2113e-07,2.5,0.58177,1
1,-3.026e-05,0,6.3719e-05,-0.00011924,0,-1.1771e-07,2.5,0.59038,1
1,-3.026e-05,0,6.3719e-05,-0.00011924,0,-1.1771e-07,2.5,0.59038,1
1,-3.0246e-05,0,6.7075e-05,-0.00011876,0,-5.5985e-08,2.5,0.59898,1
