"u:0","u:1","u:2","acc:0","acc:1","acc:2","p","Points:0","Points:1","Points:2"
1,0,0,0,0,0,0.039724,0,0,1
1,0,0,0,0,0,0.039724,0,0,1
1,0,0,0,0,0,0.039724,0,0,1
1,0,0,0,0,0,0.040325,0,1,1
1,0,0,0,0,0,0.040325,0,1,1
1,0,0,0,0,0,0.040325,0,1,1
0.99997,0,0,-6.6965e-05,0,0,-6.1462e-07,2.5,0,1
0.99997,0,0,-6.6965e-05,0,0,-6.1462e-07,2.5,0,1
0.99997,0,0,-6.6965e-05,0,0,-6.1462e-07,2.5,0,1
1,0,0,7.8441e-05,0,0,1.1909e-06,2.5,1,1
1,0,0,7.8441e-05,0,0,1.1909e-06,2.5,1,1
1,0,0,7.8441e-05,0,0,1.1909e-06,2.5,1,1
0,0,0,7.0603e-181,0,0,-0.27309,0.55,0.5,1
0,0,0,7.0603e-181,0,0,-0.27309,0.55,0.5,1
0,0,0,7.0603e-181,0,0,-0.27309,0.55,0.5,1
1,0,0,0,0,0,0.040672,0,0.034483,1
1,0,0,0,0,0,0.040672,0,0.034483,1
1,0,0,0,0,0,0.041593,0,0.068966,1
1,0,0,0,0,0,0.041593,0,0.068966,1
1,0,0,0,0,0,0.041732,0,0.10345,1
1,0,0,0,0,0,0.041732,0,0.10345,1
1,0,0,0,0,0,0.045182,0,0.13793,1
1,0,0,0,0,0,0.045182,0,0.13793,1
1,0,0,0,0,0,0.048301,0,0.17241,1
1,0,0,0,0,0,0.048301,0,0.17241,1
1,0,0,0,0,0,0.05205,0,0.2069,1
1,0,0,0,0,0,0.05205,0,0.2069,1
1,0,0,0,0,0,0.055739,0,0.24138,1
1,0,0,0,0,0,0.055739,0,0.24138,1
1,0,0,0,0,0,0.059768,0,0.27586,1
1,0,0,0,0,0,0.059768,0,0.27586,1
1,0,0,0,0,0,0.064241,0,0.31034,1
1,0,0,0,0,0,0.064241,0,0.31034,1
1,0,0,0,0,0,0.064241,0,0.31034,1
1,0,0,0,0,0,0.068256,0,0.34483,1
1,0,0,0,0,0,0.068256,0,0.34483,1
1,0,0,0,0,0,0.072324,0,0.37931,1
1,0,0,0,0,0,0.072324,0,0.37931,1
1,0,0,0,0,0,0.072324,0,0.37931,1
1,0,0,0,0,0,0.075581,0,0.41379,1
1,0,0,0,0,0,0.075581,0,0.41379,1
1,0,0,0,0,0,0.077515,0,0.44828,1
1,0,0,0,0,0,0.077515,0,0.44828,1
1,0,0,0,0,0,0.077515,0,0.44828,1
1,0,0,0,0,0,0.079272,0,0.48276,1
1,0,0,0,0,0,0.079272,0,0.48276,1
1,0,0,0,0,0,0.079272,0,0.48276,1
1,0,0,0,0,0,0.078984,0,0.51724,1
1,0,0,0,0,0,0.078984,0,0.51724,1
1,0,0,0,0,0,0.07725,0,0.55172,1
1,0,0,0,0,0,0.07725,0,0.55172,1
1,0,0,0,0,0,0.07725,0,0.55172,1
1,0,0,0,0,0,0.076152,0,0.58621,1
1,0,0,0,0,0,0.076152,0,0.58621,1
1,0,0,0,0,0,0.072356,0,0.62069,1
1,0,0,0,0,0,0.072356,0,0.62069,1
1,0,0,0,0,0,0.069108,0,0.65517,1
1,0,0,0,0,0,0.069108,0,0.65517,1
1,0,0,0,0,0,0.064659,0,0.68966,1
1,0,0,0,0,0,0.064659,0,0.68966,1
1,0,0,0,0,0,0.061082,0,0.72414,1
1,0,0,0,0,0,0.061082,0,0.72414,1
1,0,0,0,0,0,0.056347,0,0.75862,1
1,0,0,0,0,0,0.056347,0,0.75862,1
1,0,0,0,0,0,0.052699,0,0.7931,1
1,0,0,0,0,0,0.052699,0,0.7931,1
1,0,0,0,0,0,0.052699,0,0.7931,1
1,0,0,0,0,0,0.048913,0,0.82759,1
1,0,0,0,0,0,0.048913,0,0.82759,1
1,0,0,0,0,0,0.045988,0,0.86207,1
1,0,0,0,0,0,0.045988,0,0.86207,1
1,0,0,0,0,0,0.045988,0,0.86207,1
1,0,0,0,0,0,0.043589,0,0.89655,1
1,0,0,0,0,0,0.043589,0,0.89655,1
1,0,0,0,0,0,0.043589,0,0.89655,1
1,0,0,0,0,0,0.041884,0,0.93103,1
1,0,0,0,0,0,0.041884,0,0.93103,1
1,0,0,0,0,0,0.040922,0,0.96552,1
1,0,0,0,0,0,0.040922,0,0.96552,1
1,0,0,0,0,0,0.040922,0,0.96552,1
1.0006,0,0,0.00011509,0,0,0.039535,0.034722,0,1
1.0006,0,0,0.00011509,0,0,0.039535,0.034722,0,1
1.0016,0,0,0.00022567,0,0,0.03873,0.069444,0,1
1.0016,0,0,0.00022567,0,0,0.03873,0.069444,0,1
1.0036,0,0,0.00057162,0,0,0.036247,0.10417,0,1
1.0036,0,0,0.00057162,0,0,0.036247,0.10417,0,1
1.0036,0,0,0.00057162,0,0,0.036247,0.10417,0,1
1.006,0,0,0.0011949,0,0,0.034779,0.13889,0,1
1.006,0,0,0.0011949,0,0,0.034779,0.13889,0,1
1.0096,0,0,0.0021874,0,0,0.030355,0.17361,0,1
1.0096,0,0,0.0021874,0,0,0.030355,0.17361,0,1
1.0135,0,0,0.0035421,0,0,0.026183,0.20833,0,1
1.0135,0,0,0.0035421,0,0,0.026183,0.20833,0,1
1.0135,0,0,0.0035421,0,0,0.026183,0.20833,0,1
1.0184,0,0,0.005635,0,0,0.021365,0.24306,0,1
1.0184,0,0,0.005635,0,0,0.021365,0.24306,0,1
1.0184,0,0,0.005635,0,0,0.021365,0.24306,0,1
1.0237,0,0,0.0078967,0,0,0.015868,0.27778,0,1
1.0237,0,0,0.0078967,0,0,0.015868,0.27778,0,1
1.03,0,0,0.011311,0,0,0.0089455,0.3125,0,1
1.03,0,0,0.011311,0,0,0.0089455,0.3125,0,1
1.0365,0,0,0.015699,0,0,0.0017895,0.34722,0,1
1.0365,0,0,0.015699,0,0,0.0017895,0.34722,0,1
1.0433,0,0,0.02105,0,0,-0.0061273,0.38194,0,1
1.0433,0,0,0.02105,0,0,-0.0061273,0.38194,0,1
1.0503,0,0,0.027298,0,0,-0.014332,0.41667,0,1
1.0503,0,0,0.027298,0,0,-0.014332,0.41667,0,1
1.0564,0,0,0.033214,0,0,-0.022122,0.45139,0,1
1.0564,0,0,0.033214,0,0,-0.022122,0.45139,0,1
1.0623,0,0,0.041777,0,0,-0.029219,0.48611,0,1
1.0623,0,0,0.041777,0,0,-0.029219,0.48611,0,1
1.0623,0,0,0.041777,0,0,-0.029219,0.48611,0,1
1.0668,0,0,0.050899,0,0,-0.035438,0.52083,0,1
1.0668,0,0,0.050899,0,0,-0.035438,0.52083,0,1
1.0702,0,0,0.057411,0,0,-0.042408,0.55556,0,1
1.0702,0,0,0.057411,0,0,-0.042408,0.55556,0,1
1.072,0,0,0.05834,0,0,-0.045432,0.59028,0,1
1.072,0,0,0.05834,0,0,-0.045432,0.59028,0,1
1.0728,0,0,0.049359,0,0,-0.048601,0.625,0,1
1.0728,0,0,0.049359,0,0,-0.048601,0.625,0,1
1.0728,0,0,0.049359,0,0,-0.048601,0.625,0,1
1.0721,0,0,0.042028,0,0,-0.04947,0.65972,0,1
1.0721,0,0,0.042028,0,0,-0.04947,0.65972,0,1
1.0697,0,0,0.045202,0,0,-0.048558,0.69444,0,1
1.0697,0,0,0.045202,0,0,-0.048558,0.69444,0,1
1.0665,0,0,0.051696,0,0,-0.046728,0.72917,0,1
1.0665,0,0,0.051696,0,0,-0.046728,0.72917,0,1
1.0665,0,0,0.051696,0,0,-0.046728,0.72917,0,1
1.0625,0,0,0.060525,0,0,-0.043912,0.76389,0,1
1.0625,0,0,0.060525,0,0,-0.043912,0.76389,0,1
1.0571,0,0,0.065889,0,0,-0.040353,0.79861,0,1
1.0571,0,0,0.065889,0,0,-0.040353,0.79861,0,1
1.0511,0,0,0.065425,0,0,-0.036691,0.83333,0,1
1.0511,0,0,0.065425,0,0,-0.036691,0.83333,0,1
1.0452,0,0,0.063703,0,0,-0.032539,0.86806,0,1
1.0452,0,0,0.063703,0,0,-0.032539,0.86806,0,1
1.039,0,0,0.059247,0,0,-0.028221,0.90278,0,1
1.039,0,0,0.059247,0,0,-0.028221,0.90278,0,1
1.0334,0,0,0.053853,0,0,-0.024726,0.9375,0,1
1.0334,0,0,0.053853,0,0,-0.024726,0.9375,0,1
1.0284,0,0,0.047877,0,0,-0.020372,0.97222,0,1
1.0284,0,0,0.047877,0,0,-0.020372,0.97222,0,1
1.0238,0,0,0.041557,0,0,-0.01802,1.0069,0,1
1.0238,0,0,0.041557,0,0,-0.01802,1.0069,0,1
1.0196,0,0,0.0354,0,0,-0.014707,1.0417,0,1
1.0196,0,0,0.0354,0,0,-0.014707,1.0417,0,1
1.0162,0,0,0.029606,0,0,-0.012255,1.0764,0,1
1.0162,0,0,0.029606,0,0,-0.012255,1.0764,0,1
1.0131,0,0,0.024374,0,0,-0.0099675,1.1111,0,1
1.0131,0,0,0.024374,0,0,-0.0099675,1.1111,0,1
1.0108,0,0,0.019775,0,0,-0.0084562,1.1458,0,1
1.0108,0,0,0.019775,0,0,-0.0084562,1.1458,0,1
1.0087,0,0,0.015899,0,0,-0.0070012,1.1806,0,1
1.0087,0,0,0.015899,0,0,-0.0070012,1.1806,0,1
1.007,0,0,0.012494,0,0,-0.0057059,1.2153,0,1
