"u:0","u:1","u:2","acc:0","acc:1","acc:2","p","Points:0","Points:1","Points:2"
1,0,0,0,0,0,0.031179,0,0,1
1,0,0,0,0,0,0.031179,0,0,1
1,0,0,0,0,0,0.031179,0,0,1
1,0,0,0,0,0,0.039153,0,1,1
1,0,0,0,0,0,0.039153,0,1,1
1,0,0,0,0,0,0.039153,0,1,1
0.99988,0,0,-0.00024276,0,0,-2.1479e-06,2.5,0,1
0.99988,0,0,-0.00024276,0,0,-2.1479e-06,2.5,0,1
0.99988,0,0,-0.00024276,0,0,-2.1479e-06,2.5,0,1
1.0001,0,0,0.00030698,0,0,4.8943e-06,2.5,1,1
1.0001,0,0,0.00030698,0,0,4.8943e-06,2.5,1,1
1.0001,0,0,0.00030698,0,0,4.8943e-06,2.5,1,1
0,0,0,0,0,0,-0.26583,0.55,0.5,1
0,0,0,0,0,0,-0.26583,0.55,0.5,1
0,0,0,0,0,0,-0.26583,0.55,0.5,1
1,0,0,0,0,0,0.032272,0,0.034483,1
1,0,0,0,0,0,0.032272,0,0.034483,1
1,0,0,0,0,0,0.033304,0,0.068966,1
1,0,0,0,0,0,0.033304,0,0.068966,1
1,0,0,0,0,0,0.033439,0,0.10345,1
1,0,0,0,0,0,0.033439,0,0.10345,1
1,0,0,0,0,0,0.037417,0,0.13793,1
1,0,0,0,0,0,0.037417,0,0.13793,1
1,0,0,0,0,0,0.040956,0,0.17241,1
1,0,0,0,0,0,0.040956,0,0.17241,1
1,0,0,0,0,0,0.045223,0,0.2069,1
1,0,0,0,0,0,0.045223,0,0.2069,1
1,0,0,0,0,0,0.049434,0,0.24138,1
1,0,0,0,0,0,0.049434,0,0.24138,1
1,0,0,0,0,0,0.054002,0,0.27586,1
1,0,0,0,0,0,0.054002,0,0.27586,1
1,0,0,0,0,0,0.059158,0,0.31034,1
1,0,0,0,0,0,0.059158,0,0.31034,1
1,0,0,0,0,0,0.059158,0,0.31034,1
1,0,0,0,0,0,0.063812,0,0.34483,1
1,0,0,0,0,0,0.063812,0,0.34483,1
1,0,0,0,0,0,0.068546,0,0.37931,1
1,0,0,0,0,0,0.068546,0,0.37931,1
1,0,0,0,0,0,0.068546,0,0.37931,1
1,0,0,0,0,0,0.072444,0,0.41379,1
1,0,0,0,0,0,0.072444,0,0.41379,1
1,0,0,0,0,0,0.074964,0,0.44828,1
1,0,0,0,0,0,0.074964,0,0.44828,1
1,0,0,0,0,0,0.074964,0,0.44828,1
1,0,0,0,0,0,0.077321,0,0.48276,1
1,0,0,0,0,0,0.077321,0,0.48276,1
1,0,0,0,0,0,0.077321,0,0.48276,1
1,0,0,0,0,0,0.077501,0,0.51724,1
1,0,0,0,0,0,0.077501,0,0.51724,1
1,0,0,0,0,0,0.076114,0,0.55172,1
1,0,0,0,0,0,0.076114,0,0.55172,1
1,0,0,0,0,0,0.076114,0,0.55172,1
1,0,0,0,0,0,0.075383,0,0.58621,1
1,0,0,0,0,0,0.075383,0,0.58621,1
1,0,0,0,0,0,0.071748,0,0.62069,1
1,0,0,0,0,0,0.071748,0,0.62069,1
1,0,0,0,0,0,0.068719,0,0.65517,1
1,0,0,0,0,0,0.068719,0,0.65517,1
1,0,0,0,0,0,0.064237,0,0.68966,1
1,0,0,0,0,0,0.064237,0,0.68966,1
1,0,0,0,0,0,0.060711,0,0.72414,1
1,0,0,0,0,0,0.060711,0,0.72414,1
1,0,0,0,0,0,0.05586,0,0.75862,1
1,0,0,0,0,0,0.05586,0,0.75862,1
1,0,0,0,0,0,0.052108,0,0.7931,1
1,0,0,0,0,0,0.052108,0,0.7931,1
1,0,0,0,0,0,0.052108,0,0.7931,1
1,0,0,0,0,0,0.048173,0,0.82759,1
1,0,0,0,0,0,0.048173,0,0.82759,1
1,0,0,0,0,0,0.045133,0,0.86207,1
1,0,0,0,0,0,0.045133,0,0.86207,1
1,0,0,0,0,0,0.045133,0,0.86207,1
1,0,0,0,0,0,0.042605,0,0.89655,1
1,0,0,0,0,0,0.042605,0,0.89655,1
1,0,0,0,0,0,0.042605,0,0.89655,1
1,0,0,0,0,0,0.040789,0,0.93103,1
1,0,0,0,0,0,0.040789,0,0.93103,1
1,0,0,0,0,0,0.039803,0,0.96552,1
1,0,0,0,0,0,0.039803,0,0.96552,1
1,0,0,0,0,0,0.039803,0,0.96552,1
1.0007,0,0,0.00016173,0,0,0.030961,0.034722,0,1
1.0007,0,0,0.00016173,0,0,0.030961,0.034722,0,1
1.0017,0,0,0.00062738,0,0,0.030066,0.069444,0,1
1.0017,0,0,0.00062738,0,0,0.030066,0.069444,0,1
1.0041,0,0,0.0014048,0,0,0.027258,0.10417,0,1
1.0041,0,0,0.0014048,0,0,0.027258,0.10417,0,1
1.0041,0,0,0.0014048,0,0,0.027258,0.10417,0,1
1.0067,0,0,0.0022496,0,0,0.025561,0.13889,0,1
1.0067,0,0,0.0022496,0,0,0.025561,0.13889,0,1
1.0109,0,0,0.0035673,0,0,0.020531,0.17361,0,1
1.0109,0,0,0.0035673,0,0,0.020531,0.17361,0,1
1.0153,0,0,0.0050381,0,0,0.015695,0.20833,0,1
