"u:0","u:1","u:2","acc:0","acc:1","acc:2","p","Points:0","Points:1","Points:2"
1,0,0,0,0,0,0.039684,0,0,1
1,0,0,0,0,0,0.039684,0,0,1
1,0,0,0,0,0,0.039684,0,0,1
1,0,0,0,0,0,0.040045,0,1,1
1,0,0,0,0,0,0.040045,0,1,1
1,0,0,0,0,0,0.040045,0,1,1
0.99997,0,0,-6.7026e-05,0,0,-6.2538e-07,2.5,0,1
0.99997,0,0,-6.7026e-05,0,0,-6.2538e-07,2.5,0,1
0.99997,0,0,-6.7026e-05,0,0,-6.2538e-07,2.5,0,1
1,0,0,8.278e-05,0,0,1.2615e-06,2.5,1,1
1,0,0,8.278e-05,0,0,1.2615e-06,2.5,1,1
1,0,0,8.278e-05,0,0,1.2615e-06,2.5,1,1
0,0,0,6.8948e-184,0,0,-0.27257,0.55,0.5,1
0,0,0,6.8948e-184,0,0,-0.27257,0.55,0.5,1
0,0,0,6.8948e-184,0,0,-0.27257,0.55,0.5,1
1,0,0,0,0,0,0.040633,0,0.034483,1
1,0,0,0,0,0,0.040633,0,0.034483,1
1,0,0,0,0,0,0.041555,0,0.068966,1
1,0,0,0,0,0,0.041555,0,0.068966,1
1,0,0,0,0,0,0.041695,0,0.10345,1
1,0,0,0,0,0,0.041695,0,0.10345,1
1,0,0,0,0,0,0.045151,0,0.13793,1
1,0,0,0,0,0,0.045151,0,0.13793,1
1,0,0,0,0,0,0.048273,0,0.17241,1
1,0,0,0,0,0,0.048273,0,0.17241,1
1,0,0,0,0,0,0.052025,0,0.2069,1
1,0,0,0,0,0,0.052025,0,0.2069,1
1,0,0,0,0,0,0.055717,0,0.24138,1
1,0,0,0,0,0,0.055717,0,0.24138,1
1,0,0,0,0,0,0.059748,0,0.27586,1
1,0,0,0,0,0,0.059748,0,0.27586,1
1,0,0,0,0,0,0.064221,0,0.31034,1
1,0,0,0,0,0,0.064221,0,0.31034,1
1,0,0,0,0,0,0.064221,0,0.31034,1
1,0,0,0,0,0,0.068232,0,0.34483,1
1,0,0,0,0,0,0.068232,0,0.34483,1
1,0,0,0,0,0,0.072297,0,0.37931,1
1,0,0,0,0,0,0.072297,0,0.37931,1
